variable,relative_importance,scaled_importance,percentage
Ticket,462.611572265625,1.0,0.3379949764395117
Fare,453.4666442871094,0.9802319515404064,0.33131347536615624
Age,216.96983337402344,0.46901082113320425,0.1585233014387934
PassengerId,86.90300750732422,0.18785307743539487,0.06349339648186605
Survived,49.132564544677734,0.10620695090711331,0.03589741586956214
SibSp,31.076398849487305,0.0671760083676499,0.02270515336552427
Embarked,30.375537872314453,0.06566099875874538,0.02219308772845695
Parch,28.193817138671875,0.06094490243854813,0.020599070863825415
Sex,9.96425724029541,0.021539143933420834,0.0072801224463038255
