variable,relative_importance,scaled_importance,percentage
Fare,3336.461181640625,1.0,0.4581041125446257
Ticket,1859.9716796875,0.5574684009279867,0.2553785670787869
Age,1048.0224609375,0.31411198988449196,0.1438959943656616
PassengerId,368.1550598144531,0.11034297711607773,0.050548571607292724
SibSp,279.10076904296875,0.08365173573088826,0.03832120415981612
Embarked,188.07273864746094,0.05636892755784459,0.02582283753397869
Parch,121.128662109375,0.03630453211201842,0.016631255464524066
Survived,47.3773078918457,0.014199867857760912,0.0065050178632305175
Sex,34.904266357421875,0.010461463346100893,0.004792439382083681
