variable,relative_importance,scaled_importance,percentage
Glucose,1170.5498046875,1.0,0.285753476557973
BMI,750.7622680664062,0.6413757578361531,0.18327535258168534
Age,481.9456787109375,0.41172590587856434,0.11765210899378054
DiabetesPedigreeFunction,447.5072021484375,0.38230513589117027,0.10924502168687021
Pregnancies,355.8562927246094,0.3040078186332378,0.08687129107525342
BloodPressure,309.5658874511719,0.2644619530168699,0.0755709224918819
Insulin,300.84124755859375,0.25700849836022904,0.07344107191137955
SkinThickness,279.33404541015625,0.23863490839224022,0.06819075470117605
