variable,relative_importance,scaled_importance,percentage
Survived,411.1371154785156,1.0,0.274417996319839
Fare,257.58819580078125,0.6265262514696068,0.17193007857006906
Age,183.2070770263672,0.4456106494134822,0.12228358155083002
PassengerId,181.17173767089844,0.4406601370932801,0.12092507187916349
Cabin,159.15948486328125,0.38712020606078873,0.10623275128212482
Ticket,136.67446899414062,0.33243038355967325,0.09122487977228107
SibSp,85.5520248413086,0.2080863576175457,0.05710264131890036
Embarked,47.790122985839844,0.11623889254128204,0.031898043985615694
Parch,35.93461608886719,0.08740299704404816,0.023984955321176504
