variable,relative_importance,scaled_importance,percentage
Fare,3399.053955078125,1.0,0.4548137255042779
Ticket,1933.66015625,0.5688818658971703,0.258735280800517
Age,960.2681884765625,0.28251042824487654,0.1284896203638613
PassengerId,353.0733947753906,0.1038740189010255,0.047243329519477184
SibSp,274.90032958984375,0.08087554161332086,0.03678330638333072
Embarked,259.4827880859375,0.0763397084939693,0.03472034722405275
Parch,159.65855407714844,0.046971467998800503,0.02136326835293943
Survived,67.5633773803711,0.019877112359288275,0.009040383524395028
Sex,65.84712219238281,0.019372190928010544,0.00881073832714865
