variable,relative_importance,scaled_importance,percentage
Survived,544.4121704101562,1.0,0.3173845177164707
Fare,249.77255249023438,0.4587931094598005,0.14561382977753873
Age,216.10150146484375,0.3969446555576346,0.12598408806429043
PassengerId,188.88015747070312,0.346943304607614,0.11011443340784617
Cabin,186.02804565429688,0.34170442132868684,0.10845169296499096
Ticket,132.93260192871094,0.2441763964030423,0.07749780781012536
SibSp,91.07649230957031,0.16729327017240253,0.053096293870879205
Embarked,56.69007110595703,0.10413079315116548,0.03304950156371622
Parch,49.414306640625,0.09076635190465454,0.02880783482414224
