variable,relative_importance,scaled_importance,percentage
Pregnancies,814258.8125,1.0,0.32455052578786564
BloodPressure,366743.75,0.45040194145887735,0.14617818691635412
Glucose,353704.0,0.4343876843211936,0.1409807513422168
BMI,274579.875,0.3372144959131161,0.10944314195189189
DiabetesPedigreeFunction,248159.84375,0.30476777154929474,0.09891254049951971
SkinThickness,223369.234375,0.27432215770461804,0.08903140051829557
Insulin,150675.859375,0.18504664249488856,0.06005698511699528
Outcome,77390.1328125,0.0950436539641381,0.030846467866860978
