variable,relative_importance,scaled_importance,percentage
Pregnancies,902513.0,1.0,0.3154259216892816
BloodPressure,466475.0625,0.516862430236462,0.163031808443898
Glucose,455516.59375,0.5047202574921359,0.15920185241470847
BMI,326237.71875,0.3614770299707594,0.11401922534803084
DiabetesPedigreeFunction,298759.75,0.331030965758942,0.10441574748220728
SkinThickness,244508.765625,0.2709199375798465,0.08545517101512572
Insulin,167240.953125,0.1853058660927876,0.058450273606748114
