variable,relative_importance,scaled_importance,percentage
Pregnancies,546032.75,1.0,0.2952539367507624
BloodPressure,295368.40625,0.5409353308020444,0.15971328594687953
Glucose,287127.75,0.5258434590232912,0.15525735139126493
BMI,201997.625,0.3699368307120772,0.10922530561684114
DiabetesPedigreeFunction,187207.96875,0.3428511728463174,0.10122815850249128
SkinThickness,161679.234375,0.29609805341346285,0.08742411593456241
Insulin,128583.0859375,0.2354860325456669,0.06952817815892631
Outcome,41369.71484375,0.0757641640428161,0.022369667698272012
