variable,relative_importance,scaled_importance,percentage
Glucose,267.5557861328125,1.0,0.5430369023624549
BMI,111.51134490966797,0.4167779232937786,0.22632579243851042
Age,39.84877014160156,0.14893630490136722,0.08087790966294858
Pregnancies,25.089754104614258,0.09377391708568736,0.050922697456605354
DiabetesPedigreeFunction,23.083084106445312,0.08627391109750494,0.046849917437082916
Insulin,15.016800880432129,0.05612586854308549,0.030478417796039495
SkinThickness,5.8621602058410645,0.021910048332616273,0.011897964777155613
BloodPressure,4.735069751739502,0.017697504584666512,0.009610398069202648
